seed,subject,channels,auroc
3,chbmit:chb01,all,0.5083605136317839
3,chbmit:chb01,random_half,0.5052005987078152
3,chbmit:chb01,cyton,0.5331454543262916
3,chbmit:chb02,all,0.2854431032704013
3,chbmit:chb02,random_half,0.324888554136465
3,chbmit:chb02,cyton,0.5328890649224911
3,chbmit:chb03,all,0.48568660634541955
3,chbmit:chb03,random_half,0.5151632895378262
3,chbmit:chb03,cyton,0.5164634414803102
3,chbmit:chb04,all,0.437014373729949
3,chbmit:chb04,random_half,0.4560117332428931
3,chbmit:chb04,cyton,0.539387462907651
3,chbmit:chb05,all,0.5351871275745853
3,chbmit:chb05,random_half,0.5375909362674677
3,chbmit:chb05,cyton,0.5772945038138676
3,chbmit:chb06,all,0.41354373792046445
3,chbmit:chb06,random_half,0.416591648199672
3,chbmit:chb06,cyton,0.4381193521320916
3,chbmit:chb07,all,0.5073224988611551
3,chbmit:chb07,random_half,0.525303391401329
3,chbmit:chb07,cyton,0.590617451815083
3,chbmit:chb08,all,0.3061106275419647
3,chbmit:chb08,random_half,0.3501522468412266
3,chbmit:chb08,cyton,0.6129205373709463
3,chbmit:chb09,all,0.32340807492255075
3,chbmit:chb09,random_half,0.3557813824872144
3,chbmit:chb09,cyton,0.3222212527853358
3,chbmit:chb10,all,0.6207472387366787
3,chbmit:chb10,random_half,0.5977539184301335
3,chbmit:chb10,cyton,0.6723070953354078
3,chbmit:chb11,all,0.5567067810850319
3,chbmit:chb11,random_half,0.5931358693804606
3,chbmit:chb11,cyton,0.6752692911014953
3,chbmit:chb13,all,0.7313654948967974
3,chbmit:chb13,random_half,0.8291002629236278
3,chbmit:chb13,cyton,0.7798483531043621
3,chbmit:chb14,all,0.48993039112768355
3,chbmit:chb14,random_half,0.5492836556027636
3,chbmit:chb14,cyton,0.5367724653087086
3,chbmit:chb15,all,0.4712991367425524
3,chbmit:chb15,random_half,0.4756892496902955
3,chbmit:chb15,cyton,0.4850625980497708
3,chbmit:chb16,all,0.3392807034704264
3,chbmit:chb16,random_half,0.3756994385514776
3,chbmit:chb16,cyton,0.647190503891572
3,chbmit:chb17,all,0.6609178882820733
3,chbmit:chb17,random_half,0.7686105559157826
3,chbmit:chb17,cyton,0.7128579389353334
3,chbmit:chb18,all,0.5226000657373955
3,chbmit:chb18,random_half,0.5707248630704196
3,chbmit:chb18,cyton,0.5536386281893207
3,chbmit:chb19,all,0.5608954338759352
3,chbmit:chb19,random_half,0.44621055206013427
3,chbmit:chb19,cyton,0.4921351216615841
3,chbmit:chb20,all,0.7631509923268346
3,chbmit:chb20,random_half,0.6300094550617563
3,chbmit:chb20,cyton,0.34217300597227923
3,chbmit:chb22,all,0.6625888713661905
3,chbmit:chb22,random_half,0.6701968586110056
3,chbmit:chb22,cyton,0.6953724547747678
3,chbmit:chb23,all,0.764383096353199
3,chbmit:chb23,random_half,0.7449755718163766
3,chbmit:chb23,cyton,0.615179839143803
3,siena:PN01,all,0.9442322997336926
3,siena:PN01,random_half,0.9112317870152131
3,siena:PN01,cyton,0.6346182543083657
3,siena:PN03,all,0.6238903699866639
3,siena:PN03,random_half,0.7049220005902254
3,siena:PN03,cyton,0.7444034427325694
3,siena:PN07,all,0.370216160369747
3,siena:PN07,random_half,0.5707531843587655
3,siena:PN07,cyton,0.3428100482993023
3,siena:PN14,all,0.7523056197595848
3,siena:PN14,random_half,0.7496987327971788
3,siena:PN14,cyton,0.7280639948540938
4,chbmit:chb01,all,0.44419021899970407
4,chbmit:chb01,random_half,0.4768176543156508
4,chbmit:chb01,cyton,0.5353912009403753
4,chbmit:chb02,all,0.5127477185973008
4,chbmit:chb02,random_half,0.5794802535749611
4,chbmit:chb02,cyton,0.5756719397387922
4,chbmit:chb03,all,0.4862277071251813
4,chbmit:chb03,random_half,0.48167965203538465
4,chbmit:chb03,cyton,0.530993042203336
4,chbmit:chb04,all,0.3591233907833773
4,chbmit:chb04,random_half,0.3711977208572897
4,chbmit:chb04,cyton,0.4782662343897183
4,chbmit:chb05,all,0.5795075064587087
4,chbmit:chb05,random_half,0.5602276249908574
4,chbmit:chb05,cyton,0.6142359447644183
4,chbmit:chb06,all,0.4296290955056497
4,chbmit:chb06,random_half,0.41985860893052274
4,chbmit:chb06,cyton,0.4162502261916857
4,chbmit:chb07,all,0.5428992193022416
4,chbmit:chb07,random_half,0.5467719828466409
4,chbmit:chb07,cyton,0.656072433672107
4,chbmit:chb08,all,0.4672266603888722
4,chbmit:chb08,random_half,0.6224448705359771
4,chbmit:chb08,cyton,0.4747089034200557
4,chbmit:chb09,all,0.36247231220431675
4,chbmit:chb09,random_half,0.368957844974515
4,chbmit:chb09,cyton,0.42735155667228303
4,chbmit:chb10,all,0.7056134849642935
4,chbmit:chb10,random_half,0.6728168670254897
4,chbmit:chb10,cyton,0.6382344757890428
4,chbmit:chb11,all,0.5902001350097859
4,chbmit:chb11,random_half,0.5819069889418245
4,chbmit:chb11,cyton,0.6345450218783842
4,chbmit:chb13,all,0.5782956027575927
4,chbmit:chb13,random_half,0.6660337349647021
4,chbmit:chb13,cyton,0.7908445127631825
4,chbmit:chb14,all,0.44200392088034357
4,chbmit:chb14,random_half,0.5023713488733541
4,chbmit:chb14,cyton,0.4765897944518219
4,chbmit:chb15,all,0.5562811976543558
4,chbmit:chb15,random_half,0.4983587761710743
4,chbmit:chb15,cyton,0.4642118686014223
4,chbmit:chb16,all,0.4339613216289193
4,chbmit:chb16,random_half,0.49802271384878904
4,chbmit:chb16,cyton,0.5626841082175039
4,chbmit:chb17,all,0.6697459497749609
4,chbmit:chb17,random_half,0.7603617273964942
4,chbmit:chb17,cyton,0.6900983065411497
4,chbmit:chb18,all,0.5007490483031369
4,chbmit:chb18,random_half,0.5566117646954828
4,chbmit:chb18,cyton,0.5555879143374851
4,chbmit:chb19,all,0.5249974208191478
4,chbmit:chb19,random_half,0.45472942408875555
4,chbmit:chb19,cyton,0.47877287264473894
4,chbmit:chb20,all,0.738300952350721
4,chbmit:chb20,random_half,0.6175857783570843
4,chbmit:chb20,cyton,0.28246062898397184
4,chbmit:chb22,all,0.6269633681214464
4,chbmit:chb22,random_half,0.6338271354589844
4,chbmit:chb22,cyton,0.6524031749120022
4,chbmit:chb23,all,0.7735968205670318
4,chbmit:chb23,random_half,0.7492041107990396
4,chbmit:chb23,cyton,0.6372335470041885
4,siena:PN01,all,0.9913488322262696
4,siena:PN01,random_half,0.9946575882334935
4,siena:PN01,cyton,0.9848250635158712
4,siena:PN03,all,0.5509814987990034
4,siena:PN03,random_half,0.6510317115416464
4,siena:PN03,cyton,0.6640267880156847
4,siena:PN07,all,0.45933257154539514
4,siena:PN07,random_half,0.41048018195292735
4,siena:PN07,cyton,0.3097014789151458
4,siena:PN14,all,0.7636495481368071
4,siena:PN14,random_half,0.7737073342704419
4,siena:PN14,cyton,0.7477496271875828
