seed,fold,test,inner,n_train_subjects,n_train_windows,threshold,inner_far_per_24h,threshold_fixed_before_test_scored
3,18,chbmit:chb20,chbmit:chb08;chbmit:chb10;chbmit:chb11;chbmit:chb16;siena:PN14,31,682476,0.9139139139139139,9.967383666663169,True
3,19,chbmit:chb22,chbmit:chb01;chbmit:chb04;chbmit:chb15;chbmit:chb20;siena:PN01,31,560755,0.9419419419419419,9.813488814534718,True
3,20,chbmit:chb23,chbmit:chb04;chbmit:chb07;chbmit:chb11;chbmit:chb14;chbmit:chb17,31,567677,0.9139139139139139,9.927947783334746,True
3,21,siena:PN01,chbmit:chb05;chbmit:chb14;chbmit:chb17;chbmit:chb18;siena:PN03,31,691457,0.9479479479479479,9.983698904318759,True
3,22,siena:PN03,chbmit:chb03;chbmit:chb04;chbmit:chb05;chbmit:chb13;chbmit:chb15,31,568726,0.9529529529529529,9.704184046193944,True
3,23,siena:PN07,chbmit:chb01;chbmit:chb07;chbmit:chb23;siena:PN01;siena:PN03,31,652429,0.9279279279279279,9.9701415033104,True
3,24,siena:PN14,chbmit:chb02;chbmit:chb03;chbmit:chb09;chbmit:chb10;chbmit:chb11,31,628939,0.9059059059059059,9.829478610489845,True
4,0,chbmit:chb01,chbmit:chb14;chbmit:chb17;chbmit:chb23;siena:PN03;siena:PN07,31,676708,0.993993993993994,9.368659846766255,True
4,1,chbmit:chb02,chbmit:chb01;chbmit:chb10;chbmit:chb11;chbmit:chb23;siena:PN01,31,638352,0.8678678678678678,9.877999247837533,True
4,2,chbmit:chb03,chbmit:chb07;chbmit:chb10;chbmit:chb15;chbmit:chb19;chbmit:chb20,31,624596,0.8258258258258259,9.945082376435348,True
4,3,chbmit:chb04,chbmit:chb06;chbmit:chb07;chbmit:chb10;chbmit:chb16;siena:PN14,31,533090,0.8788788788788788,9.901918976545842,True
4,4,chbmit:chb05,chbmit:chb07;chbmit:chb08;chbmit:chb09;chbmit:chb17;siena:PN14,31,636694,0.934934934934935,9.947368421052632,True
4,5,chbmit:chb06,chbmit:chb02;chbmit:chb03;chbmit:chb07;chbmit:chb08;chbmit:chb11,31,617867,0.8898898898898899,9.734333806530115,True
4,6,chbmit:chb07,chbmit:chb05;chbmit:chb09;chbmit:chb22;siena:PN01;siena:PN03,31,631424,0.975975975975976,9.910810024521009,True
4,7,chbmit:chb08,chbmit:chb09;chbmit:chb10;chbmit:chb19;chbmit:chb20;siena:PN01,31,655776,0.9099099099099099,9.958490712978469,True
4,8,chbmit:chb09,chbmit:chb01;chbmit:chb03;chbmit:chb04;chbmit:chb16;siena:PN03,31,534001,0.9769769769769769,9.822840471861655,True
4,9,chbmit:chb10,chbmit:chb01;chbmit:chb05;chbmit:chb08;chbmit:chb09;chbmit:chb13,31,602664,0.8868868868868869,9.965525637903855,True
4,10,chbmit:chb11,chbmit:chb02;chbmit:chb10;chbmit:chb17;chbmit:chb20;siena:PN01,31,675142,0.8688688688688688,9.965498750467942,True
4,11,chbmit:chb13,chbmit:chb05;chbmit:chb09;chbmit:chb10;chbmit:chb19;siena:PN14,31,633316,0.8648648648648649,9.941685785111053,True
4,12,chbmit:chb14,chbmit:chb02;chbmit:chb03;chbmit:chb04;chbmit:chb05;siena:PN07,31,588275,0.954954954954955,9.990104063583995,True
4,13,chbmit:chb15,chbmit:chb04;chbmit:chb10;chbmit:chb13;chbmit:chb17;chbmit:chb22,31,568141,0.9319319319319319,9.61425924362025,True
4,14,chbmit:chb16,chbmit:chb06;chbmit:chb09;chbmit:chb18;chbmit:chb19;chbmit:chb20,31,628657,0.8578578578578578,9.977358392640506,True
4,15,chbmit:chb17,chbmit:chb02;chbmit:chb04;chbmit:chb09;chbmit:chb15;chbmit:chb16,31,562228,0.948948948948949,9.932665462309082,True
4,16,chbmit:chb18,chbmit:chb05;chbmit:chb06;chbmit:chb11;chbmit:chb15;siena:PN14,31,636053,0.9029029029029029,9.876662054028035,True
4,17,chbmit:chb19,chbmit:chb07;chbmit:chb10;chbmit:chb18;chbmit:chb22;siena:PN07,31,646171,0.8458458458458459,9.950673970859,True
4,18,chbmit:chb20,chbmit:chb05;chbmit:chb14;chbmit:chb16;chbmit:chb17;siena:PN14,31,696049,0.914914914914915,9.988316463947069,True
4,19,chbmit:chb22,chbmit:chb03;chbmit:chb10;chbmit:chb14;chbmit:chb18;siena:PN14,31,661561,0.92992992992993,9.699043138931952,True
4,20,chbmit:chb23,chbmit:chb09;chbmit:chb16;chbmit:chb17;chbmit:chb19;siena:PN14,31,673009,0.953953953953954,9.867907394751871,True
4,21,siena:PN01,chbmit:chb02;chbmit:chb14;chbmit:chb17;chbmit:chb23;siena:PN07,31,711683,0.8778778778778779,9.76271186440678,True
4,22,siena:PN03,chbmit:chb07;chbmit:chb08;chbmit:chb10;chbmit:chb19;chbmit:chb20,31,648636,0.8308308308308309,9.985021858962174,True
4,23,siena:PN07,chbmit:chb09;chbmit:chb11;chbmit:chb14;chbmit:chb16;chbmit:chb18,31,667989,0.8958958958958959,9.91009765672329,True
4,24,siena:PN14,chbmit:chb03;chbmit:chb13;chbmit:chb14;chbmit:chb17;chbmit:chb20,31,686755,0.8848848848848849,9.838575329755491,True
