seed,subject,dataset,seizures,folds_scored,auroc,clock_only_auroc
2,chbmit:chb20,chbmit,5,2,0.8790947073734997,0.813462205093697
3,chbmit:chb20,chbmit,5,2,0.9175943972480789,0.813462205093697
4,chbmit:chb20,chbmit,5,2,0.9683715950409875,0.813462205093697
0,chbmit:chb22,chbmit,2,1,0.3442045615953298,1.0
1,chbmit:chb22,chbmit,2,1,0.3442045615953298,1.0
2,chbmit:chb22,chbmit,2,1,0.3442045615953298,1.0
3,chbmit:chb22,chbmit,2,1,0.3442045615953298,1.0
4,chbmit:chb22,chbmit,2,1,0.3442045615953298,1.0
0,chbmit:chb23,chbmit,5,4,0.9280683158467855,0.3688240206389702
1,chbmit:chb23,chbmit,5,4,0.9280683158467855,0.3688240206389702
2,chbmit:chb23,chbmit,5,4,0.9280683158467855,0.3688240206389702
3,chbmit:chb23,chbmit,5,4,0.9280683158467855,0.3688240206389702
4,chbmit:chb23,chbmit,5,4,0.9280683158467855,0.3688240206389702
0,siena:PN01,siena,2,2,0.9995877207750468,0.0034713719428204103
1,siena:PN01,siena,2,2,0.9995877207750468,0.0034713719428204103
2,siena:PN01,siena,2,2,0.9995877207750468,0.0034713719428204103
3,siena:PN01,siena,2,2,0.9995877207750468,0.0034713719428204103
4,siena:PN01,siena,2,2,0.9995877207750468,0.0034713719428204103
0,siena:PN03,siena,2,1,0.27930052061866584,1.0
1,siena:PN03,siena,2,1,0.27930052061866584,1.0
2,siena:PN03,siena,2,1,0.27930052061866584,1.0
3,siena:PN03,siena,2,1,0.27930052061866584,1.0
4,siena:PN03,siena,2,1,0.27930052061866584,1.0
0,siena:PN14,siena,4,4,0.9103229213315233,1.0
1,siena:PN14,siena,4,4,0.9103229213315233,1.0
2,siena:PN14,siena,4,4,0.9103229213315233,1.0
3,siena:PN14,siena,4,4,0.9103229213315233,1.0
4,siena:PN14,siena,4,4,0.9103229213315233,1.0
